id_hecho,nro_victimas,fecha,hora,tipo_calle,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2019-0038,1,2019-05-04,14,avenida,13,-58.45212523,-34.54628513,peaton,moto,peaton,femenino,42,fatal,Saturday
2019-0039,1,2019-05-09,3,avenida,7,-58.46749188,-34.63551751,moto,auto,conductor,masculino,28,fatal,Thursday
2019-0040,1,2019-05-09,12,calle,7,-58.4426358,-34.63679732,moto,,conductor,masculino,44,fatal,Thursday
2019-0044,1,2019-05-27,12,avenida,5,-58.41635217,-34.62036547,peaton,moto,peaton,femenino,77,fatal,Monday
2019-0045,1,2019-06-03,7,avenida,14,-58.41316147,-34.57579669,moto,cargas,conductor,masculino,33,fatal,Monday
2019-0046,1,2019-06-04,9,gral paz,13,-58.47617802,-34.53825652,moto,auto,pasajero_acompañante,femenino,26,fatal,Tuesday
2019-0048,1,2019-06-07,7,avenida,6,-58.45322169,-34.62038137,moto,cargas,conductor,masculino,32,fatal,Friday
2019-0050,1,2019-06-08,23,avenida,14,-58.41829559,-34.59411677,moto,cargas,conductor,masculino,21,fatal,Saturday
2019-0051,1,2019-06-11,10,calle,4,-58.36376488,-34.63832093,moto,auto,conductor,masculino,41,fatal,Tuesday
2019-0054,1,2019-06-20,3,calle,15,-58.48222035,-34.58428769,moto,objeto fijo,conductor,masculino,21,fatal,Thursday
2019-0055,1,2019-06-20,19,avenida,1,-58.36819005,-34.60283208,moto,pasajeros,conductor,masculino,47,fatal,Thursday
2019-0058,1,2019-07-10,9,autopista,10,-58.50622631,-34.63627822,moto,pasajeros,conductor,masculino,39,fatal,Wednesday
2019-0059,1,2019-07-13,22,calle,1,-58.3841088,-34.63099197,moto,pasajeros,conductor,masculino,30,fatal,Saturday
2019-0063,1,2019-08-04,1,avenida,15,-58.45220688,-34.58711712,moto,pasajeros,pasajero_acompañante,masculino,,fatal,Sunday
2019-0064,1,2019-08-06,3,avenida,7,-58.4596221,-34.6224514,moto,auto,conductor,masculino,20,fatal,Tuesday
2019-0067,1,2019-08-14,15,calle,10,-58.49101637,-34.64276621,moto,cargas,conductor,masculino,35,fatal,Wednesday
2019-0068,1,2019-08-14,17,avenida,8,-58.42493829,-34.66256502,moto,moto,conductor,masculino,53,fatal,Wednesday
2019-0069,1,2019-08-17,5,avenida,4,-58.40489318,-34.62930162,moto,auto,conductor,masculino,43,fatal,Saturday
2019-0070,1,2019-08-22,12,avenida,14,-58.4268668,-34.59217875,moto,bicicleta,conductor,masculino,25,fatal,Thursday
2019-0074,1,2019-08-29,9,autopista,13,-58.46514781,-34.53465378,moto,cargas,conductor,masculino,35,fatal,Thursday
2019-0075,1,2019-08-30,23,calle,4,-58.37571078,-34.65584079,moto,pasajeros,conductor,masculino,31,fatal,Friday
2019-0076,1,2019-09-05,18,autopista,4,-58.37157668,-34.65429986,moto,cargas,conductor,femenino,29,fatal,Thursday
2019-0079,1,2019-09-17,5,calle,5,-58.41822901,-34.61866836,moto,pasajeros,conductor,masculino,57,fatal,Tuesday
2019-0080,1,2019-09-17,18,gral paz,13,-58.47617802,-34.53825652,peaton,moto,peaton,masculino,76,fatal,Tuesday
2019-0086,1,2019-10-15,14,avenida,15,-58.45283186,-34.5884156,moto,pasajeros,conductor,masculino,29,fatal,Tuesday
2019-0087,1,2019-10-21,21,avenida,12,-58.47973681,-34.57418656,moto,moto,conductor,masculino,41,fatal,Monday
2019-0090,1,2019-10-24,18,avenida,9,-58.49962423,-34.64868027,peaton,moto,peaton,masculino,67,fatal,Thursday
2019-0094,1,2019-11-18,14,calle,15,-58.44368628,-34.59724326,moto,otro,pasajero_acompañante,femenino,,fatal,Monday
2019-0095,1,2019-11-20,15,autopista,1,-58.37864583,-34.62907067,moto,cargas,conductor,masculino,,fatal,Wednesday
2019-0097,1,2019-11-25,8,autopista,9,-58.47721439,-34.64815069,moto,multiple,pasajero_acompañante,femenino,23,fatal,Monday
2019-0100,1,2019-12-05,17,avenida,12,-58.49040794,-34.58368803,moto,auto,conductor,masculino,38,fatal,Thursday
2019-0101,1,2019-12-17,4,avenida,4,-58.42102679,-34.64991178,moto,moto,conductor,masculino,25,fatal,Tuesday
2019-0102,1,2019-12-17,14,calle,9,-58.52219407,-34.64143926,moto,auto,conductor,masculino,18,fatal,Tuesday
2019-0103,1,2019-12-18,3,gral paz,11,-58.52169422,-34.5947164,moto,moto,conductor,masculino,24,fatal,Wednesday
2019-0104,1,2019-12-21,4,avenida,10,-58.47460416,-34.63206174,moto,auto,pasajero_acompañante,femenino,23,fatal,Saturday
2020-0002,1,2020-01-05,20,avenida,7,-58.45019436,-34.64646409,moto,objeto fijo,conductor,masculino,36,fatal,Sunday
2020-0005,1,2020-01-14,6,avenida,3,-58.41036975,-34.62477021,moto,pasajeros,conductor,masculino,25,fatal,Tuesday
2020-0006,1,2020-01-20,12,avenida,8,-58.44925765,-34.65412546,moto,cargas,conductor,masculino,23,fatal,Monday
2020-0007,1,2020-01-27,0,calle,1,-58.3815685,-34.61648696,peaton,moto,peaton,masculino,52,fatal,Monday
2020-0008,1,2020-01-30,7,avenida,2,-58.40662899,-34.59804521,moto,cargas,conductor,masculino,49,fatal,Thursday
2020-0010,1,2020-02-08,5,avenida,1,-58.38099833,-34.62214953,moto,objeto fijo,conductor,masculino,,fatal,Saturday
2020-0011,1,2020-02-12,11,calle,5,-58.41803309,-34.61823178,moto,cargas,conductor,masculino,31,fatal,Wednesday
2020-0012,1,2020-02-18,21,calle,3,-58.40604003,-34.61783553,peaton,moto,peaton,femenino,66,fatal,Tuesday
2020-0013,1,2020-02-20,12,avenida,15,-58.47549929,-34.57994061,peaton,moto,peaton,femenino,58,fatal,Thursday
2020-0014,1,2020-02-27,2,calle,11,-58.51398484,-34.61600366,moto,pasajeros,conductor,masculino,,fatal,Thursday
2020-0015,1,2020-02-28,14,avenida,1,-58.36797542,-34.62519403,moto,pasajeros,conductor,masculino,29,fatal,Friday
2020-0018,1,2020-03-09,14,avenida,13,-58.44903073,-34.54200276,moto,objeto fijo,conductor,masculino,31,fatal,Monday
2020-0020,1,2020-03-13,17,avenida,3,-58.40571596,-34.60557123,peaton,moto,peaton,femenino,74,fatal,Friday
2020-0026,1,2020-05-17,6,autopista,14,-58.40021959,-34.57964781,moto,objeto fijo,conductor,masculino,28,fatal,Sunday
2020-0030,1,2020-06-16,15,avenida,6,-58.45158942,-34.6064658,moto,multiple,conductor,masculino,40,fatal,Tuesday
2020-0031,1,2020-06-30,8,avenida,9,-58.49344309,-34.65788529,moto,cargas,conductor,masculino,29,fatal,Tuesday
2020-0032,1,2020-07-10,23,avenida,15,-58.44259166,-34.59635137,moto,auto,conductor,masculino,21,fatal,Friday
2020-0035,1,2020-08-04,5,autopista,7,-58.45068621,-34.63638927,moto,pasajeros,conductor,masculino,40,fatal,Tuesday
2020-0036,1,2020-08-07,18,avenida,14,-58.42016954,-34.5877879,peaton,moto,peaton,masculino,72,fatal,Friday
2020-0041,1,2020-09-28,1,avenida,7,-58.4475047,-34.63491705,moto,pasajeros,conductor,masculino,34,fatal,Monday
2020-0046,1,2020-10-27,21,avenida,11,-58.4844016,-34.60776782,moto,moto,conductor,masculino,41,fatal,Tuesday
2020-0048,1,2020-10-29,20,avenida,15,-58.4495878,-34.59322448,moto,objeto fijo,conductor,masculino,41,fatal,Thursday
2020-0050,1,2020-11-01,22,avenida,14,-58.42525456,-34.57866344,peaton,moto,peaton,femenino,28,fatal,Sunday
2020-0051,1,2020-11-05,0,avenida,10,-58.48493828,-34.62981124,moto,auto,conductor,masculino,49,fatal,Thursday
2020-0056,1,2020-11-21,13,gral paz,8,-58.47064556,-34.69843756,moto,cargas,conductor,femenino,34,fatal,Saturday
2020-0060,1,2020-12-03,20,avenida,9,-58.47750832,-34.65672199,peaton,moto,peaton,femenino,69,fatal,Thursday
2020-0061,1,2020-12-03,14,autopista,13,-58.44927253,-34.54048625,moto,cargas,conductor,masculino,45,fatal,Thursday
2020-0063,2,2020-12-05,7,calle,11,-58.52783814,-34.61047001,peaton_moto,moto,peaton,masculino,38,fatal,Saturday
2020-0063,2,2020-12-05,7,calle,11,-58.52783814,-34.61047001,peaton_moto,moto,pasajero_acompañante,masculino,21,fatal,Saturday
2020-0065,1,2020-12-05,16,gral paz,12,-58.49332664,-34.54836855,moto,auto,conductor,masculino,24,fatal,Saturday
2020-0066,1,2020-12-07,4,autopista,10,-58.50178784,-34.63593897,moto,objeto fijo,conductor,masculino,27,fatal,Monday
2020-0068,1,2020-12-12,20,avenida,2,-58.39731474,-34.58307887,moto,auto,conductor,masculino,71,fatal,Saturday
2020-0069,1,2020-12-15,5,avenida,1,-58.38746381,-34.61790839,moto,pasajeros,pasajero_acompañante,masculino,25,fatal,Tuesday
2020-0073,1,2020-12-20,7,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,56,fatal,Sunday
2020-0077,2,2020-12-25,6,avenida,15,-58.47220945,-34.60111373,moto,auto,conductor,femenino,30,fatal,Friday
2020-0077,2,2020-12-25,6,avenida,15,-58.47220945,-34.60111373,moto,auto,pasajero_acompañante,femenino,24,fatal,Friday
2020-0079,1,2020-12-27,4,gral paz,12,-58.49332664,-34.54836855,moto,objeto fijo,conductor,masculino,28,fatal,Sunday
2021-0001,1,2021-01-06,18,autopista,1,-58.37960727,-34.62622851,moto,auto,conductor,masculino,36,fatal,Wednesday
2021-0002,1,2021-01-07,10,avenida,9,-58.51061062,-34.64972472,moto,cargas,conductor,femenino,47,fatal,Thursday
2021-0003,1,2021-01-10,7,autopista,7,-58.43052224,-34.62941648,moto,objeto fijo,conductor,masculino,27,fatal,Sunday
2021-0006,1,2021-01-12,21,autopista,14,-58.40786274,-34.56726817,moto,cargas,pasajero_acompañante,femenino,23,fatal,Tuesday
2021-0007,1,2021-01-18,10,avenida,15,-58.48744301,-34.58622275,moto,moto,conductor,masculino,84,fatal,Monday
2021-0009,1,2021-01-23,5,avenida,6,-58.45351111,-34.61134937,moto,objeto fijo,conductor,masculino,31,fatal,Saturday
2021-0010,1,2021-01-23,8,gral paz,12,-58.5007381,-34.5497951,moto,auto,conductor,masculino,28,fatal,Saturday
2021-0013,1,2021-01-31,6,avenida,10,-58.48727942,-34.63652467,moto,objeto fijo,conductor,masculino,41,fatal,Sunday
2021-0015,1,2021-02-06,3,avenida,15,-58.49018543,-34.5972499,moto,objeto fijo,conductor,masculino,26,fatal,Saturday
2021-0017,1,2021-02-17,4,avenida,1,-58.38262614,-34.63168269,moto,pasajeros,conductor,masculino,33,fatal,Wednesday
2021-0019,1,2021-02-21,1,avenida,12,-58.49659234,-34.56353635,moto,objeto fijo,conductor,masculino,30,fatal,Sunday
2021-0021,1,2021-02-26,5,calle,3,-58.41168345,-34.61185625,moto,objeto fijo,conductor,masculino,39,fatal,Friday
2021-0023,1,2021-03-01,9,autopista,4,-58.36882665,-34.64291993,moto,cargas,conductor,masculino,24,fatal,Monday
2021-0025,1,2021-03-11,3,gral paz,8,-58.48695354,-34.68795245,moto,otro,conductor,masculino,37,fatal,Thursday
2021-0026,1,2021-03-15,2,autopista,4,-58.37562539,-34.64449357,moto,objeto fijo,conductor,masculino,36,fatal,Monday
2021-0027,1,2021-03-16,15,gral paz,12,-58.49491054,-34.54795581,moto,cargas,conductor,femenino,19,fatal,Tuesday
2021-0032,1,2021-04-10,19,autopista,13,-58.44112678,-34.54538956,peaton,moto,peaton,masculino,60,fatal,Saturday
2021-0034,1,2021-04-19,14,avenida,4,-58.40184094,-34.64546845,moto,cargas,pasajero_acompañante,femenino,26,fatal,Monday
2021-0035,1,2021-05-03,9,avenida,8,-58.44642231,-34.65679806,moto,cargas,conductor,masculino,24,fatal,Monday
2021-0036,1,2021-05-09,6,gral paz,11,-58.52340614,-34.59798754,moto,objeto fijo,conductor,masculino,36,fatal,Sunday
2021-0038,1,2021-05-14,11,avenida,14,-58.42653328,-34.57816791,moto,cargas,conductor,femenino,44,fatal,Friday
2021-0040,1,2021-05-20,5,gral paz,13,-58.46743471,-34.53476874,moto,auto,conductor,masculino,27,fatal,Thursday
2021-0044,1,2021-05-25,2,avenida,9,-58.46712311,-34.64600222,moto,objeto fijo,pasajero_acompañante,masculino,21,fatal,Tuesday
2021-0045,1,2021-05-26,17,autopista,4,-58.37709334,-34.64035082,moto,multiple,conductor,masculino,22,fatal,Wednesday
2021-0047,1,2021-06-02,16,avenida,4,-58.42190745,-34.65633192,moto,auto,conductor,masculino,59,fatal,Wednesday
2021-0050,1,2021-06-10,13,avenida,13,-58.44751621,-34.55719892,moto,pasajeros,conductor,masculino,56,fatal,Thursday
2021-0052,1,2021-06-20,5,gral paz,8,-58.49530249,-34.68010798,moto,objeto fijo,pasajero_acompañante,femenino,19,fatal,Sunday
2021-0054,1,2021-06-22,14,calle,4,-58.42759813,-34.65463857,moto,cargas,conductor,masculino,41,fatal,Tuesday
2021-0055,1,2021-06-29,12,avenida,3,-58.40547222,-34.60456293,moto,cargas,pasajero_acompañante,masculino,47,fatal,Tuesday
2021-0067,1,2021-08-08,9,autopista,1,-58.37910943,-34.62764718,moto,objeto fijo,conductor,masculino,27,fatal,Sunday
2021-0068,1,2021-08-15,6,avenida,11,-58.52161176,-34.61164474,moto,objeto fijo,conductor,masculino,39,fatal,Sunday
2021-0070,1,2021-08-28,8,avenida,8,-58.43960781,-34.65470804,moto,cargas,conductor,masculino,31,fatal,Saturday
2021-0071,1,2021-08-31,16,calle,3,-58.4045461,-34.60003693,peaton,moto,peaton,masculino,88,fatal,Tuesday
2021-0074,1,2021-09-20,15,gral paz,12,-58.5007381,-34.5497951,moto,multiple,conductor,masculino,55,fatal,Monday
2021-0076,1,2021-10-16,6,avenida,7,-58.43980799,-34.65094083,moto,objeto fijo,conductor,masculino,31,fatal,Saturday
2021-0077,1,2021-10-18,7,avenida,6,-58.44402387,-34.62933109,moto,cargas,conductor,femenino,31,fatal,Monday
2021-0078,1,2021-10-23,6,avenida,6,-58.42779702,-34.62207347,moto,pasajeros,conductor,masculino,22,fatal,Saturday
2021-0080,1,2021-10-28,16,avenida,1,-58.38277479,-34.5943016,moto,auto,conductor,masculino,32,fatal,Thursday
2021-0081,1,2021-11-02,13,autopista,4,-58.37627355,-34.63800916,moto,cargas,conductor,masculino,26,fatal,Tuesday
2021-0082,1,2021-11-06,4,autopista,3,-58.39591856,-34.62453459,moto,auto,conductor,masculino,38,fatal,Saturday
2021-0083,1,2021-11-09,0,avenida,13,-58.45829717,-34.56015762,moto,auto,conductor,masculino,30,fatal,Tuesday
2021-0085,1,2021-11-20,18,gral paz,12,-58.51271409,-34.57786555,moto,objeto fijo,conductor,masculino,49,fatal,Saturday
2021-0088,1,2021-12-01,15,calle,13,-58.45531707,-34.55555257,moto,auto,conductor,masculino,45,fatal,Wednesday
2021-0089,1,2021-12-02,1,avenida,11,-58.47633683,-34.62140594,moto,auto,conductor,masculino,41,fatal,Thursday
2021-0091,1,2021-12-11,23,calle,10,-58.51989389,-34.62284918,moto,auto,conductor,masculino,24,fatal,Saturday
2021-0093,1,2021-12-13,17,avenida,7,-58.43353773,-34.64561636,moto,auto,pasajero_acompañante,femenino,18,fatal,Monday
2021-0094,1,2021-12-20,1,autopista,9,-58.46739825,-34.65117757,moto,auto,pasajero_acompañante,femenino,43,fatal,Monday
2021-0095,1,2021-12-30,0,avenida,11,-58.47293407,-34.61984745,moto,cargas,conductor,masculino,27,fatal,Thursday
